DATE,Inflasi_IDN,Kurs_USD_IDR,BI_Rate,Harga_Minyak
2010-01-01,73.73624000000001,9270.0,6.5,76.17
2010-02-01,73.96743000000002,9326.25,6.5,73.75
2010-03-01,73.84872,9161.08695652174,6.5,78.83
2010-04-01,73.96119,9026.31818181818,6.5,84.82
2010-05-01,74.17363,9160.2380952381,6.5,75.95
2010-06-01,74.89218000000001,9130.63636363636,6.5,74.76
2010-07-01,76.06685999999996,9034.59090909091,6.5,75.58
2010-08-01,76.64795999999998,8968.54545454545,6.5,77.04
2010-09-01,76.98537,8975.54545454545,6.5,77.84
2010-10-01,77.03534999999998,8924.57142857143,6.5,82.67
2010-11-01,77.49773,8939.31818181818,6.5,85.28
2010-12-01,78.21003,9019.21739130435,6.5,91.45
2011-01-01,78.90984,9030.52380952381,6.5,96.52
2011-02-01,79.01607,8913.55,6.75,103.72
2011-03-01,78.75988000000001,8756.73913043478,6.75,114.64
2011-04-01,78.51619999999998,8645.71428571429,6.75,123.26
2011-05-01,78.60992,8555.40909090909,6.75,114.99
2011-06-01,79.04105,8559.27272727273,6.75,113.83
2011-07-01,79.57217,8526.57142857143,6.75,116.97
2011-08-01,80.31570999999998,8521.26086956522,6.75,110.22
2011-09-01,80.5344,8717.59090909091,6.75,112.83
2011-10-01,80.44068,8861.7619047619,6.5,109.55
2011-11-01,80.71561,8994.04545454545,6.0,110.77
2011-12-01,81.17173000000001,9047.72727272727,6.0,107.87
2012-01-01,81.79030999999999,9043.63636363636,6.0,110.69
2012-02-01,81.82779999999998,8989.7619047619,5.75,119.33
2012-03-01,81.88403000000001,9134.5,5.75,125.45
2012-04-01,82.05274,9158.2380952381,5.75,119.75
2012-05-01,82.10898,9245.5652173913,5.75,110.34
2012-06-01,82.62134,9397.61904761905,5.75,95.16
2012-07-01,83.20243,9427.77272727273,5.75,102.62
2012-08-01,83.99595999999998,9486.65217391304,5.75,113.36
2012-09-01,84.00846,9546.5,5.75,112.86
2012-10-01,84.14592,9588.73913043478,5.75,111.71
2012-11-01,84.20215999999996,9612.68181818182,5.75,109.06
2012-12-01,84.65829000000002,9629.28571428571,5.75,109.49
2013-01-01,85.1674,9644.65217391304,5.75,112.96
2013-02-01,85.76529999999998,9677.35,5.75,116.05
2013-03-01,86.1722,9706.09523809524,5.75,108.47
2013-04-01,86.21371999999998,9720.45454545455,5.75,102.25
2013-05-01,86.29675999999996,9755.33333333333,5.75,102.56
